Date,BusID,StopFrom,StopTo,PassengerCount,Distance,Duration
01-01-2023,6,People,Stop E,15000106,47.9769053,175
02-01-2023,9,Shelter,Stop D,55656212,53.77864236,131
03-01-2023,7,People,Stop D,24201,43.86560045,167
04-01-2023,9,Food,Stop D,5553,69.91839869,65
05-01-2023,8,Medicine,Stop E,12963,66.67151211,109
06-01-2023,4,Food,Stop F,6014,60.20238576,66
07-01-2023,9,Resuce Equipment,Stop C,10031,85.44167088,152
08-01-2023,6,Shelter,Stop E,7358,18.19184942,85
09-01-2023,4,Medicine Equipment,Stop A,6440,17.73344618,128
10-01-2023,10,Medicine,Stop E,22959,42.227785,62
11-01-2023,6,Medicine,Stop E,9475,87.61172784,190
12-01-2023,3,Resuce Equipment,Stop E,19006,56.52033793,151
13-01-2023,6,People,Stop F,7019,61.63456522,195
14-01-2023,5,Medicine,Stop B,11479,54.86598493,54
15-01-2023,8,Medicine,Stop B,11432,87.83637248,6
16-01-2023,1,Food,Stop C,13687,56.30598855,169
17-01-2023,7,Shelter,Stop E,11204,52.97972524,48
18-01-2023,7,Medicine,Stop C,11978,36.87571437,184
19-01-2023,1,Medicine Equipment,Stop A,15021,13.48050468,23
20-01-2023,2,Medicine,Stop B,15716,77.16118816,55
21-01-2023,2,Medicine,Stop D,19215,62.83733726,73
22-01-2023,5,Resuce Equipment,Stop A,12991,37.72937013,76
23-01-2023,5,Shelter,Stop F,11065,31.79486192,168
24-01-2023,6,Medicine,Stop C,19747,13.08815742,168
25-01-2023,9,Medicine Equipment,Stop C,7563,69.0121025,35
26-01-2023,9,Food,Stop B,20082,68.57665984,147
27-01-2023,4,Resuce Equipment,Stop C,24062,61.06969376,108
28-01-2023,1,Medicine Equipment,Stop A,13064,88.6178603,104
29-01-2023,5,Food,Stop C,4043,16.6601143,57
30-01-2023,9,Resuce Equipment,Stop E,8438,86.06064789,69
31-01-2023,8,Resuce Equipment,Stop F,22336,46.7314234,108
01-02-2023,3,People,Stop C,20295,80.32102532,125
02-02-2023,4,Medicine,Stop F,11331,36.8217089,147
03-02-2023,9,Shelter,Stop B,23179,53.21660195,57
04-02-2023,2,Medicine Equipment,Stop B,7148,75.37497353,55
05-02-2023,6,Medicine Equipment,Stop A,17973,10.48012822,155
06-02-2023,3,People,Stop F,3811,51.56015905,58
07-02-2023,1,Resuce Equipment,Stop D,16672,60.17170567,11
08-02-2023,1,Medicine Equipment,Stop F,6812,94.88463236,163
09-02-2023,3,People,Stop E,15615,34.49603728,191
10-02-2023,6,Resuce Equipment,Stop E,18419,38.01867456,154
11-02-2023,2,Food,Stop B,20396,89.67169057,42
12-02-2023,2,Resuce Equipment,Stop A,17931,71.9417591,115
13-02-2023,2,Medicine Equipment,Stop A,6596,10.39889798,169
14-02-2023,6,Shelter,Stop E,19181,89.97764672,53
15-02-2023,1,Shelter,Stop C,16634,70.74769773,174
16-02-2023,9,Resuce Equipment,Stop D,20204,68.51517417,61
17-02-2023,9,Food,Stop B,19095,95.16111267,84
18-02-2023,2,Shelter,Stop A,17726,88.59481019,199
19-02-2023,3,Medicine,Stop A,23747,45.10482349,161
20-02-2023,8,Shelter,Stop D,4572,3.325781272,116
21-02-2023,5,Medicine Equipment,Stop E,18135,17.0800227,142
22-02-2023,1,Resuce Equipment,Stop F,15514,48.18747099,182
23-02-2023,10,Shelter,Stop E,15173,72.15448957,79
24-02-2023,9,Food,Stop C,4793,60.00352114,153
25-02-2023,10,Medicine,Stop D,22048,44.56451887,23
26-02-2023,6,Resuce Equipment,Stop D,22214,64.62730801,149
27-02-2023,6,Resuce Equipment,Stop C,20516,70.52588019,10
28-02-2023,7,Shelter,Stop E,13661,51.62392439,140
01-03-2023,4,Shelter,Stop C,18981,83.70249507,101
02-03-2023,10,Shelter,Stop D,9449,65.28636604,94
03-03-2023,7,Shelter,Stop B,8540,72.67623651,187
